,endTime,artistName,trackName,msPlayed,UniqueID,InLibrary,album,track_uri
0,2022-07-09 12:19,Kygo,Higher Love,11730,Kygo:Higher Love,0,,
1,2022-07-09 12:19,Drake,Falling Back,32810,Drake:Falling Back,0,,
2,2022-07-10 09:00,Dirtyphonics,Stage Divers - Original Mix,22506,Dirtyphonics:Stage Divers - Original Mix,0,,
3,2022-07-10 09:04,Lorde,Supercut,277506,Lorde:Supercut,0,,
4,2022-07-10 09:29,Kygo,Stole the Show,143497,Kygo:Stole the Show,0,,
5,2022-07-10 09:32,Mr. Oizo,Positif,171120,Mr. Oizo:Positif,0,,
6,2022-07-10 09:36,Mr. Oizo,The Church,212681,Mr. Oizo:The Church,0,,
7,2022-07-10 09:40,Gater,Taboo,259000,Gater:Taboo,1,Taboo (feat. Chesty Morganstein),5CVOeNkatHhW7Uc7M7zffK
8,2022-07-10 09:45,Ouai Stéphane,Ouai ouai,250909,Ouai Stéphane:Ouai ouai,0,,
9,2022-07-10 09:48,Handbraekes,Callgurls,195037,Handbraekes:Callgurls,0,,
10,2022-07-10 09:52,Glover,Everybody Loves Balenciaga - Extended Version,260160,Glover:Everybody Loves Balenciaga - Extended Version,1,Everybody Loves Balenciaga,2KOZg6fEDvhsvGySfhaW9h
11,2022-07-10 09:57,Iñigo Montoya,.E.S,300268,Iñigo Montoya:.E.S,0,,
12,2022-07-10 10:00,Mr. Oizo,Machyne,188751,Mr. Oizo:Machyne,0,,
13,2022-07-10 10:05,Teenage Bad Girl,USB Dick (Plug Me In),244106,Teenage Bad Girl:USB Dick (Plug Me In),0,,
14,2022-07-10 10:10,Jackson And His Computer Band,Arp #1,307999,Jackson And His Computer Band:Arp #1,0,,
15,2022-07-10 10:13,Handbraekes,The Qat,210784,Handbraekes:The Qat,0,,
16,2022-07-10 10:18,Grand Soleil,Human Error,281987,Grand Soleil:Human Error,0,,
17,2022-07-10 10:23,You Man,Everybody,277241,You Man:Everybody,0,,
18,2022-07-10 10:27,Daft Punk,Human After All - SebastiAn Remix,287640,Daft Punk:Human After All - SebastiAn Remix,0,,
19,2022-07-10 10:30,Mr. Oizo,Ruhe (feat. Boys Noize),159560,Mr. Oizo:Ruhe (feat. Boys Noize),0,,
20,2022-07-10 10:34,Simian Mobile Disco,Hustler - Radio Edit,224666,Simian Mobile Disco:Hustler - Radio Edit,0,,
